"title","year","rating","votes","runtime","genre"
"The Hobbit: The Desolation of Smaug",2013,8.1,249443,161,"Adventure"
"2012",2009,5.8,211022,158,"Action"
"Rango",2011,7.3,134510,107,"Animation"
"The Bourne Legacy",2012,6.7,165213,135,"Action"
"Harry Potter and the Deathly Hallows: Part 2",2011,8.1,344216,130,"Adventure"
"The Lone Ranger",2013,6.6,116599,149,"Action"
"Brave",2012,7.2,165044,93,"Animation"
"Battle Los Angeles",2011,5.8,131354,116,"Action"
"Resident Evil: Afterlife",2010,5.9,105347,97,"Action"
"Ip Man",2008,8.1,101020,106,"Action"
"Get Him to the Greek",2010,6.4,122105,109,"Comedy"
"Iron Man 2",2010,7.1,337808,124,"Action"
"Mission: Impossible - Ghost Protocol",2011,7.4,266646,133,"Action"
"Due Date",2010,6.6,215748,95,"Comedy"
"Hot Tub Time Machine",2010,6.5,110486,101,"Adventure"
"21 Jump Street",2012,7.2,243684,109,"Action"
"The Tourist",2010,6,128663,103,"Action"
"This Is the End",2013,6.9,188103,107,"Comedy"
"Red",2010,7.1,184923,111,"Action"
"Kick-Ass",2010,7.8,324419,117,"Action"
"Immortals",2011,6.1,112273,110,"Action"
"The Twilight Saga: New Moon",2009,4.6,179909,130,"Adventure"
"X-Men: First Class",2011,7.8,340539,132,"Action"
"Looper",2012,7.5,303605,119,"Action"
"Date Night",2010,6.3,102062,88,"Comedy"
"Easy A",2010,7.2,182792,92,"Comedy"
"Bad Teacher",2011,5.7,123366,92,"Comedy"
"Pirates of the Caribbean: On Stranger Tides",2011,6.7,258392,136,"Action"
"Iron Man 3",2013,7.4,350466,130,"Action"
"Kung Fu Panda 2",2011,7.4,118131,91,"Animation"
"50/50",2011,7.8,207865,100,"Comedy"
"Rise of the Planet of the Apes",2011,7.6,272305,105,"Action"
"The Expendables",2010,6.5,194645,103,"Action"
"Gangster Squad",2013,6.8,130219,113,"Action"
"Despicable Me",2010,7.7,241480,95,"Animation"
